020-07-29 16:36:04,731 [main] INFO OrangeHRM - URL is opened
2020-07-29 16:36:07,009 [main] INFO OrangeHRM - Entered Username
2020-07-29 16:36:07,132 [main] INFO OrangeHRM - Entered Password
2020-07-29 16:36:09,667 [main] INFO OrangeHRM - Test is passed
2020-07-29 21:28:54,609 [main] INFO OrangeHRM - URL is opened
2020-07-29 21:28:56,889 [main] INFO OrangeHRM - Entered Username
2020-07-29 21:28:57,002 [main] INFO OrangeHRM - Entered Password
2020-07-29 21:28:59,621 [main] INFO OrangeHRM - Test is passed
2020-07-29 21:33:22,253 [main] INFO OrangeHRM - URL is opened
2020-07-29 21:33:24,527 [main] INFO OrangeHRM - Entered Username
2020-07-29 21:33:24,652 [main] INFO OrangeHRM - Entered Password
2020-07-29 21:33:27,145 [main] INFO OrangeHRM - Test is passed
2020-07-29 22:15:38,385 [main] INFO OrangeHRM - URL is opened
2020-07-29 22:15:40,666 [main] INFO OrangeHRM - Entered Username
2020-07-29 22:15:40,776 [main] INFO OrangeHRM - Entered Password
2020-07-29 22:17:26,311 [main] INFO OrangeHRM - URL is opened
2020-07-29 22:17:28,582 [main] INFO OrangeHRM - Entered Username
2020-07-29 22:17:28,698 [main] INFO OrangeHRM - Entered Password
2020-07-29 22:17:31,399 [main] INFO OrangeHRM - Test is passed
2020-07-30 15:32:40,198 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:32:40,361 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:35:08,482 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:35:08,597 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:35:58,079 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:35:58,195 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:37:20,535 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:37:20,652 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:40:34,407 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:40:34,521 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:41:30,838 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:41:30,957 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:41:39,550 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 15:41:39,669 [main] INFO OrangeHRM - Enter first name
